Geneid,SRR6710302,SRR6710303,SRR6710304,SRR6710305,SRR6710306,SRR6710307,SRR6710308,SRR6710309,SRR6710310,SRR6710311,SRR6710312,SRR6710313,SRR6710314,SRR6710315,SRR6710316,SRR6710317,SRR6710318,SRR6710319,SRR6710320,SRR6710321,SRR6710322,SRR6710323,SRR6710324,SRR6710325,SRR6710326,SRR6710327,SRR6710328,SRR6710329,SRR6710330,SRR6710331,SRR6710332,SRR6710333,SRR6710334,SRR6710335,SRR6710336,SRR6710337,SRR6710338,SRR6710339,SRR6710340,SRR6710341,SRR6710342,SRR6710343,SRR6710344,SRR6710345,SRR6710346,SRR6710347,SRR6710348,SRR6710349,SRR6710350,SRR6710351,SRR6710352,SRR6710353,SRR6710354,SRR6710355,SRR6710356,SRR6710357,SRR6710358,SRR6710359,SRR6710360,SRR6710361,SRR6710362,SRR6710363,SRR6710364,SRR6710365,SRR6710366,SRR6710367,SRR6710368,SRR6710369,SRR6710370,SRR6710371,SRR6710372,SRR6710373,SRR6710374,SRR6710375,SRR6710376,SRR6710377,SRR6710378,SRR6710379,SRR6710380,SRR6710381,SRR6710382,SRR6710383,SRR6710384,SRR6710385,SRR6710386,SRR6710387,SRR6710388,SRR6710389,SRR6710390,SRR6710391,SRR6710392,SRR6710393,SRR6710394,SRR6710395,SRR6710396,SRR6710397,SRR6710398,SRR6710399,SRR6710400,SRR6710401,SRR6710402,SRR6710403,SRR6710404,SRR6710405,SRR6710406,SRR6710407,SRR6710408,SRR6710409,SRR6710410,SRR6710411,SRR6710412,SRR6710413,SRR6710414,SRR6710415,SRR6710416,SRR6710417,SRR6710418,SRR6710419,SRR6710420,SRR6710421,SRR6710422,SRR6710423,SRR6710424,SRR6710425,SRR6710426,SRR6710427,SRR6710428
ENSG00000223972.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,101,0,0,65,0,0,0,0,0,6,16,0,2,151,0,12,1,25,0,0,0,0,0,0,0,0,15,29,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,151,53,0,0,40,0,1,2,0,0,0,7,4,9,4,4,0,0,0,13,0,0,0,6,0,1,1,0,7,3,0,6,15,0,1,7,0,22,0,9,0,0,0,0,0,4,130,0,1,0,16,0,0,0,1,0,0,0,4,0,0,0,1,5,2,0
ENSG00000243485.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,28,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268903.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0
ENSG00000239906.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241860.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,94,0,1,0,0,10,0,0,0,0,0,0,0,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,21,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,3,0,8,1,0,0
ENSG00000222623.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279457.1,52,0,0,0,0,0,0,12,0,0,0,2,0,0,3,0,21,0,0,29,0,0,2,0,0,10,3,0,4,11,0,114,12,12,0,0,0,6,0,0,0,0,21,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,72,0,6,54,0,24,7,0,0,0,3,16,7,2,3,0,0,0,0,3,17,55,9,0,5,0,27,26,17,8,2,7,31,1,0,0,1,0,21,2,0,0,0,4,12,90,4,12,3,109,0,0,0,4,0,0,0,9,0,0,0,0,3,5,0
ENSG00000228463.6,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0,0,3,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,1,0,0,102,0,0,0,2,0,0,0,13,0,3,619,0,48,0,0,117,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,0,86,0,0,0,1,0,0,19,0,0,0,0,0,28,0,0,0
ENSG00000236679.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,4,0,11,0,5,0,0,0,0,1,0,3,0,0,23,0,0,0,3,68,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73,4,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
ENSG00000236743.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.9,1,0,0,0,0,0,0,0,567,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,22,0,21,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,36,2,0,0,0,0,4,0,0,0,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,48,5,95,0,0,0,0,0,0,0,1,303,0,0,0,0,0,0,0,24,77,0,0
