Sample	posterior	ESS(posterior)	likelihood	prior
0	-20919.40078631287	N	-20894.82655429368	-24.574232019193627
5000	-14515.162323254679	2.0	-14533.816018453057	18.6536951983784
10000	-14365.260042356918	3.0	-14389.293427234767	24.03338487784769
15000	-14358.970364428784	4.0	-14384.350062263147	25.379697834363128
20000	-14350.615007865026	5.0	-14372.174798598395	21.559790733369162
25000	-14306.129900133168	6.0	-14331.387951563782	25.25805143061298
30000	-14290.812418970581	7.0	-14314.315722916992	23.50330394641071
35000	-14275.311108305894	8.0	-14296.635257109447	21.324148803552568
40000	-14272.41233860003	9.0	-14295.22137499108	22.80903639105095
45000	-14259.50677627943	3.6	-14278.72491054866	19.218134269231662
50000	-14248.658981346494	3.5	-14270.059636815975	21.400655469480323
55000	-14231.209777845828	3.4	-14259.681871465073	28.472093619243445
60000	-14183.050074295817	3.4	-14208.729159128805	25.6790848329877
65000	-14167.008270462258	3.3	-14194.405377259556	27.397106797298637
70000	-14183.90258912886	3.3	-14211.74320117719	27.84061204833112
75000	-14179.301888248776	3.2	-14205.737117908315	26.43522965953943
80000	-14166.964508326786	3.1	-14190.547189450317	23.58268112353149
85000	-14168.678976204917	3.0	-14192.097247322003	23.41827111708536
90000	-14158.657085633133	2.9	-14186.35305192884	27.695966295707446
95000	-14161.934518121247	2.4	-14188.718633769287	26.784115648040263
100000	-14158.01297067505	2.5	-14184.984476200892	26.97150552584234
105000	-14147.178980034669	2.5	-14173.093955478513	25.91497544384445
110000	-14166.690101455879	2.6	-14193.649518963237	26.959417507357763
115000	-14163.975247982076	2.6	-14191.114497089895	27.13924910781853
120000	-14163.008134984997	2.6	-14191.313260070372	28.305125085374616
125000	-14155.016838869811	2.7	-14185.528465009535	30.511626139722505
130000	-14170.092391860671	2.7	-14199.702634594234	29.61024273356347
135000	-14156.001414734714	2.8	-14186.68516308327	30.68374834855615
140000	-14144.590827257154	2.9	-14174.311591768883	29.720764511728326
145000	-14158.435411499566	3.1	-14184.229288127972	25.793876628406334
150000	-14164.737123280447	3.1	-14191.641374912933	26.9042516324853
