Cell	Outgroup	Category
Cell1	no	A
Cell2	no	A
Cell3	no	A
Cell4	no	A
Cell5	no	A
Cell6	no	A
Cell7	no	A
Cell8	no	A
Cell9	no	A
Cell10	no	A
Cell11	no	A
Cell12	no	A
Cell13	no	A
Cell14	no	A
Cell15	no	A
Cell16	no	A
Cell17	no	A
Cell18	no	A
Cell19	no	A
Cell20	no	A
Cell21	no	A
Cell22	no	A
Cell23	no	A
Cell24	no	A
Cell25	no	A
Cell26	no	A
Cell27	no	A
Cell28	no	A
Cell29	no	A
Cell30	no	A
Cell31	no	A
Cell32	no	A
Cell33	no	A
Cell34	no	A
Cell35	no	A
Cell36	no	A
Cell37	no	A
Cell38	no	A
Cell39	no	A
Cell40	no	A
Cell41	no	A
Cell42	no	A
Cell43	no	A
Cell44	no	A
Cell45	no	A
Cell46	no	A
