Cell	N01	N02	N03	N04	N05	N06	N07	N08	N09	N10
Cell1	Cell16	Cell8	Cell10	Cell11	Cell23	Cell4	Cell3	Cell18	Cell20	Cell17
Cell10	Cell16	Cell8	Cell1	Cell18	Cell23	Cell4	Cell11	Cell17	Cell9	Cell22
Cell11	Cell16	Cell1	Cell23	Cell10	Cell20	Cell13	Cell14	Cell3	Cell18	Cell12
Cell12	Cell8	Cell16	Cell23	Cell10	Cell11	Cell20	Cell1	Cell15	Cell13	Cell9
Cell13	Cell16	Cell11	Cell10	Cell8	Cell17	Cell1	Cell20	Cell14	Cell23	Cell12
Cell14	Cell16	Cell11	Cell23	Cell10	Cell13	Cell8	Cell3	Cell1	Cell20	Cell7
Cell15	Cell8	Cell16	Cell10	Cell23	Cell1	Cell12	Cell18	Cell4	Cell11	Cell20
Cell16	Cell11	Cell10	Cell1	Cell8	Cell20	Cell23	Cell17	Cell13	Cell3	Cell14
Cell17	Cell16	Cell10	Cell20	Cell23	Cell8	Cell1	Cell13	Cell3	Cell18	Cell11
Cell18	Cell10	Cell8	Cell16	Cell20	Cell23	Cell1	Cell4	Cell11	Cell22	Cell17
Cell19	Cell8	Cell16	Cell1	Cell10	Cell23	Cell20	Cell17	Cell3	Cell11	Cell13
Cell2	Cell16	Cell10	Cell1	Cell23	Cell8	Cell20	Cell11	Cell4	Cell17	Cell13
Cell20	Cell16	Cell8	Cell18	Cell23	Cell11	Cell17	Cell1	Cell12	Cell13	Cell10
Cell21	Cell10	Cell16	Cell11	Cell8	Cell12	Cell1	Cell18	Cell20	Cell23	Cell4
Cell22	Cell8	Cell10	Cell18	Cell16	Cell11	Cell1	Cell4	Cell20	Cell23	Cell3
Cell23	Cell16	Cell10	Cell1	Cell11	Cell8	Cell18	Cell20	Cell3	Cell12	Cell17
Cell24	Cell16	Cell11	Cell23	Cell1	Cell5	Cell13	Cell34	Cell17	Cell10	Cell12
Cell25	Cell31	Cell16	Cell27	Cell11	Cell26	Cell45	Cell34	Cell23	Cell14	Cell8
Cell26	Cell16	Cell14	Cell11	Cell8	Cell34	Cell10	Cell15	Cell18	Cell23	Cell44
Cell27	Cell16	Cell11	Cell34	Cell23	Cell20	Cell14	Cell10	Cell13	Cell17	Cell8
Cell28	Cell8	Cell10	Cell23	Cell16	Cell1	Cell4	Cell18	Cell12	Cell15	Cell17
Cell29	Cell3	Cell16	Cell8	Cell1	Cell10	Cell18	Cell9	Cell4	Cell22	Cell7
Cell3	Cell16	Cell1	Cell8	Cell23	Cell11	Cell10	Cell17	Cell4	Cell20	Cell14
Cell30	Cell41	Cell46	Cell42	Cell24	Cell43	Cell6	Cell36	Cell38	Cell33	Cell40
Cell31	Cell23	Cell16	Cell34	Cell27	Cell11	Cell13	Cell1	Cell14	Cell8	Cell20
Cell32	Cell16	Cell23	Cell3	Cell11	Cell18	Cell17	Cell8	Cell10	Cell4	Cell13
Cell33	Cell31	Cell27	Cell34	Cell25	Cell11	Cell35	Cell44	Cell45	Cell7	Cell16
Cell34	Cell16	Cell11	Cell10	Cell20	Cell23	Cell8	Cell18	Cell13	Cell17	Cell2
Cell35	Cell10	Cell1	Cell8	Cell16	Cell4	Cell18	Cell22	Cell3	Cell15	Cell11
Cell36	Cell16	Cell23	Cell10	Cell20	Cell17	Cell11	Cell9	Cell1	Cell3	Cell32
Cell37	Cell43	Cell38	Cell42	Cell31	Cell36	Cell6	Cell33	Cell25	Cell30	Cell26
Cell38	Cell27	Cell14	Cell11	Cell44	Cell16	Cell26	Cell13	Cell22	Cell12	Cell40
Cell39	Cell16	Cell10	Cell20	Cell11	Cell23	Cell8	Cell18	Cell1	Cell17	Cell2
Cell4	Cell10	Cell8	Cell1	Cell18	Cell16	Cell23	Cell3	Cell20	Cell11	Cell9
Cell40	Cell11	Cell16	Cell18	Cell28	Cell34	Cell23	Cell4	Cell22	Cell12	Cell27
Cell41	Cell43	Cell42	Cell30	Cell39	Cell40	Cell24	Cell6	Cell33	Cell29	Cell38
Cell42	Cell40	Cell31	Cell26	Cell44	Cell38	Cell27	Cell25	Cell45	Cell28	Cell34
Cell43	Cell42	Cell28	Cell2	Cell34	Cell45	Cell41	Cell32	Cell40	Cell12	Cell6
Cell44	Cell10	Cell16	Cell23	Cell11	Cell18	Cell1	Cell12	Cell17	Cell14	Cell8
Cell45	Cell16	Cell10	Cell8	Cell4	Cell1	Cell7	Cell2	Cell3	Cell22	Cell23
Cell46	Cell27	Cell26	Cell44	Cell45	Cell35	Cell33	Cell40	Cell31	Cell34	Cell23
Cell5	Cell16	Cell1	Cell23	Cell11	Cell17	Cell3	Cell10	Cell14	Cell20	Cell18
Cell6	Cell8	Cell3	Cell4	Cell1	Cell19	Cell16	Cell15	Cell10	Cell17	Cell5
Cell7	Cell16	Cell10	Cell8	Cell20	Cell1	Cell3	Cell23	Cell18	Cell17	Cell14
Cell8	Cell16	Cell10	Cell1	Cell20	Cell4	Cell18	Cell23	Cell3	Cell12	Cell22
Cell9	Cell10	Cell16	Cell18	Cell4	Cell12	Cell8	Cell23	Cell11	Cell3	Cell20
