Cell	Cell1	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell2	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell3	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell4	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell5	Cell6	Cell7	Cell8	Cell9
Cell1	0	0.350932315336476	0.350932315336476	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532	0.350932315336476	0.40162151996532	0.40162151996532	0.40162151996532	0.232955242071476	0.40162151996532	0.350932315336476	0.40162151996532	0.40162151996532	0.40162151996532	0.525406401410173	0.525406401410173	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532	0.270211288464237	0.525406401410173	0.40162151996532	0.525406401410173	0.270211288464237	0.525406401410173	0.270211288464237	0.343007391258219	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.182376522442158	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532
Cell10	0.350932315336476	0	0.282751515327329	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532	0.282751515327329	0.40162151996532	0.40162151996532	0.40162151996532	0.350932315336476	0.40162151996532	0.235430782500762	0.40162151996532	0.40162151996532	0.40162151996532	0.525406401410173	0.525406401410173	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532	0.350932315336476	0.525406401410173	0.40162151996532	0.525406401410173	0.350932315336476	0.525406401410173	0.350932315336476	0.343007391258219	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.350932315336476	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532
Cell11	0.350932315336476	0.282751515327329	0	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532	0.207954815444742	0.40162151996532	0.40162151996532	0.40162151996532	0.350932315336476	0.40162151996532	0.282751515327329	0.40162151996532	0.40162151996532	0.40162151996532	0.525406401410173	0.525406401410173	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532	0.350932315336476	0.525406401410173	0.40162151996532	0.525406401410173	0.350932315336476	0.525406401410173	0.350932315336476	0.343007391258219	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.350932315336476	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532
Cell12	0.40162151996532	0.40162151996532	0.40162151996532	0	0.319794217778559	0.357512417909373	0.175067911638158	0.40162151996532	0.319794217778559	0.357512417909373	0.213346047428435	0.40162151996532	0.319794217778559	0.40162151996532	0.357512417909373	0.149767915715612	0.24836320975062	0.525406401410173	0.525406401410173	0.295237464257855	0.24836320975062	0.24836320975062	0.269803908395074	0.40162151996532	0.525406401410173	0.295237464257855	0.525406401410173	0.40162151996532	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.24836320975062	0.269803908395074	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.40162151996532	0.269803908395074	0.357512417909373	0.269803908395074	0.213346047428435
Cell13	0.40162151996532	0.40162151996532	0.40162151996532	0.319794217778559	0	0.357512417909373	0.319794217778559	0.40162151996532	0.242565561632806	0.357512417909373	0.319794217778559	0.40162151996532	0.242565561632806	0.40162151996532	0.357512417909373	0.319794217778559	0.319794217778559	0.525406401410173	0.525406401410173	0.319794217778559	0.319794217778559	0.319794217778559	0.319794217778559	0.40162151996532	0.525406401410173	0.319794217778559	0.525406401410173	0.40162151996532	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.319794217778559	0.319794217778559	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.40162151996532	0.319794217778559	0.357512417909373	0.319794217778559	0.319794217778559
Cell14	0.40162151996532	0.40162151996532	0.40162151996532	0.357512417909373	0.357512417909373	0	0.357512417909373	0.40162151996532	0.357512417909373	0.243536906548884	0.357512417909373	0.40162151996532	0.357512417909373	0.40162151996532	0.281535813570979	0.357512417909373	0.357512417909373	0.525406401410173	0.525406401410173	0.357512417909373	0.357512417909373	0.357512417909373	0.357512417909373	0.40162151996532	0.525406401410173	0.357512417909373	0.525406401410173	0.40162151996532	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.357512417909373	0.357512417909373	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.40162151996532	0.357512417909373	0.151751213954866	0.357512417909373	0.357512417909373
Cell15	0.40162151996532	0.40162151996532	0.40162151996532	0.175067911638158	0.319794217778559	0.357512417909373	0	0.40162151996532	0.319794217778559	0.357512417909373	0.213346047428435	0.40162151996532	0.319794217778559	0.40162151996532	0.357512417909373	0.175067911638158	0.24836320975062	0.525406401410173	0.525406401410173	0.295237464257855	0.24836320975062	0.24836320975062	0.269803908395074	0.40162151996532	0.525406401410173	0.295237464257855	0.525406401410173	0.40162151996532	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.24836320975062	0.269803908395074	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.40162151996532	0.269803908395074	0.357512417909373	0.269803908395074	0.213346047428435
Cell16	0.350932315336476	0.282751515327329	0.207954815444742	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532	0	0.40162151996532	0.40162151996532	0.40162151996532	0.350932315336476	0.40162151996532	0.282751515327329	0.40162151996532	0.40162151996532	0.40162151996532	0.525406401410173	0.525406401410173	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532	0.350932315336476	0.525406401410173	0.40162151996532	0.525406401410173	0.350932315336476	0.525406401410173	0.350932315336476	0.343007391258219	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.350932315336476	0.40162151996532	0.40162151996532	0.40162151996532	0.40162151996532
Cell17	0.40162151996532	0.40162151996532	0.40162151996532	0.319794217778559	0.242565561632806	0.357512417909373	0.319794217778559	0.40162151996532	0	0.357512417909373	0.319794217778559	0.40162151996532	0.177016651910522	0.40162151996532	0.357512417909373	0.319794217778559	0.319794217778559	0.525406401410173	0.525406401410173	0.319794217778559	0.319794217778559	0.319794217778559	0.319794217778559	0.40162151996532	0.525406401410173	0.319794217778559	0.525406401410173	0.40162151996532	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.319794217778559	0.319794217778559	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.40162151996532	0.319794217778559	0.357512417909373	0.319794217778559	0.319794217778559
Cell18	0.40162151996532	0.40162151996532	0.40162151996532	0.357512417909373	0.357512417909373	0.243536906548884	0.357512417909373	0.40162151996532	0.357512417909373	0	0.357512417909373	0.40162151996532	0.357512417909373	0.40162151996532	0.281535813570979	0.357512417909373	0.357512417909373	0.525406401410173	0.525406401410173	0.357512417909373	0.357512417909373	0.357512417909373	0.357512417909373	0.40162151996532	0.525406401410173	0.357512417909373	0.525406401410173	0.40162151996532	0.525406401410173	0.40162151996532	0.40162151996532	0.525406401410173	0.357512417909373	0.357512417909373	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.525406401410173	0.40162151996532	0.357512417909373	0.243536906548884	0.357512417909373	0.357512417909373
