Cell	Cell1	Cell10	Cell100	Cell101	Cell102	Cell103	Cell104	Cell105	Cell106	Cell107	Cell108	Cell109	Cell11	Cell110	Cell111	Cell112	Cell113	Cell114	Cell115	Cell116	Cell117	Cell118	Cell119	Cell12	Cell120	Cell121	Cell122	Cell123	Cell124	Cell125	Cell126	Cell127	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell2	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell3	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell4	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell5	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell6	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65	Cell66	Cell67	Cell68	Cell69	Cell7	Cell70	Cell71	Cell72	Cell73	Cell74	Cell75	Cell76	Cell77	Cell78	Cell79	Cell8	Cell80	Cell81	Cell82	Cell83	Cell84	Cell85	Cell86	Cell87	Cell88	Cell89	Cell9	Cell90	Cell91	Cell92	Cell93	Cell94	Cell95	Cell96	Cell97	Cell98	Cell99
Cell1	0	0.400797889610668	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.470569530451671	0.54937132406793	0.54937132406793	0.54937132406793	0.470569530451671	0.54937132406793	0.54937132406793	0.54937132406793	0.522619995314667	0.54937132406793	0.54937132406793	0.181177715275902	0.54937132406793	0.522619995314667	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.359562444453979	0.359562444453979	0.430438915441584	0.470569530451671	0.331234033051296	0.359562444453979	0.430438915441584	0.430438915441584	0.400797889610668	0.470569530451671	0.430438915441584	0.400797889610668	0.250674343987752	0.430438915441584	0.430438915441584	0.400797889610668	0.290860729439326	0.400797889610668	0.359562444453979	0.400797889610668	0.400797889610668	0.430438915441584	0.400797889610668	0.430438915441584	0.290860729439326	0.430438915441584	0.400797889610668	0.359562444453979	0.400797889610668	0.400797889610668	0.400797889610668	0.430438915441584	0.470569530451671	0.400797889610668	0.470569530451671	0.470569530451671	0.290860729439326	0.359562444453979	0.331234033051296	0.400797889610668	0.359562444453979	0.250674343987752	0.250674343987752	0.470569530451671	0.359562444453979	0.359562444453979	0.331234033051296	0.331234033051296	0.400797889610668	0.290860729439326	0.430438915441584	0.331234033051296	0.400797889610668	0.331234033051296	0.400797889610668	0.331234033051296	0.470569530451671	0.359562444453979	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.430438915441584	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.522619995314667	0.54937132406793	0.470569530451671	0.54937132406793	0.54937132406793	0.522619995314667	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.470569530451671	0.54937132406793	0.54937132406793	0.522619995314667	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793
Cell10	0.400797889610668	0	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.470569530451671	0.54937132406793	0.54937132406793	0.54937132406793	0.470569530451671	0.54937132406793	0.54937132406793	0.54937132406793	0.522619995314667	0.54937132406793	0.54937132406793	0.400797889610668	0.54937132406793	0.522619995314667	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.400797889610668	0.400797889610668	0.430438915441584	0.470569530451671	0.400797889610668	0.400797889610668	0.430438915441584	0.430438915441584	0.357379643105843	0.470569530451671	0.430438915441584	0.261500971808377	0.400797889610668	0.430438915441584	0.430438915441584	0.357379643105843	0.400797889610668	0.357379643105843	0.400797889610668	0.357379643105843	0.299340286150975	0.430438915441584	0.21720171304614	0.430438915441584	0.400797889610668	0.430438915441584	0.357379643105843	0.400797889610668	0.357379643105843	0.357379643105843	0.357379643105843	0.430438915441584	0.470569530451671	0.299340286150975	0.470569530451671	0.470569530451671	0.400797889610668	0.400797889610668	0.400797889610668	0.357379643105843	0.400797889610668	0.400797889610668	0.400797889610668	0.470569530451671	0.400797889610668	0.400797889610668	0.400797889610668	0.400797889610668	0.357379643105843	0.400797889610668	0.430438915441584	0.400797889610668	0.357379643105843	0.400797889610668	0.357379643105843	0.400797889610668	0.470569530451671	0.400797889610668	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.430438915441584	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.522619995314667	0.54937132406793	0.470569530451671	0.54937132406793	0.54937132406793	0.522619995314667	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.470569530451671	0.54937132406793	0.54937132406793	0.522619995314667	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793
Cell100	0.54937132406793	0.54937132406793	0	0.338527306589047	0.460859365314177	0.460859365314177	0.503269111790362	0.503269111790362	0.460859365314177	0.503269111790362	0.460859365314177	0.244037134271386	0.54937132406793	0.415191908776207	0.415191908776207	0.415191908776207	0.54937132406793	0.460859365314177	0.503269111790363	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790363	0.54937132406793	0.460859365314177	0.54937132406793	0.503269111790363	0.503269111790362	0.415191908776207	0.503269111790362	0.460859365314177	0.503269111790363	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.503269111790362	0.460859365314177	0.460859365314177	0.460859365314177	0.54937132406793	0.503269111790362	0.460859365314177	0.503269111790362	0.338527306589047	0.503269111790362	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790362	0.54937132406793	0.415191908776207	0.503269111790362	0.503269111790362	0.503269111790362	0.460859365314177	0.338527306589047	0.503269111790362	0.54937132406793	0.415191908776207	0.503269111790362	0.54937132406793	0.460859365314177	0.415191908776207	0.503269111790362	0.503269111790363	0.503269111790363	0.503269111790363	0.503269111790362
Cell101	0.54937132406793	0.54937132406793	0.338527306589047	0	0.460859365314177	0.460859365314177	0.503269111790362	0.503269111790362	0.460859365314177	0.503269111790362	0.460859365314177	0.338527306589047	0.54937132406793	0.415191908776207	0.415191908776207	0.415191908776207	0.54937132406793	0.460859365314177	0.503269111790363	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790363	0.54937132406793	0.460859365314177	0.54937132406793	0.503269111790363	0.503269111790362	0.415191908776207	0.503269111790362	0.460859365314177	0.503269111790363	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.503269111790362	0.460859365314177	0.460859365314177	0.460859365314177	0.54937132406793	0.503269111790362	0.460859365314177	0.503269111790362	0.278614483023528	0.503269111790362	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790362	0.54937132406793	0.415191908776207	0.503269111790362	0.503269111790362	0.503269111790362	0.460859365314177	0.212369435086704	0.503269111790362	0.54937132406793	0.415191908776207	0.503269111790362	0.54937132406793	0.460859365314177	0.415191908776207	0.503269111790362	0.503269111790363	0.503269111790363	0.503269111790363	0.503269111790362
Cell102	0.54937132406793	0.54937132406793	0.460859365314177	0.460859365314177	0	0.316097902302877	0.503269111790362	0.503269111790362	0.410514532095831	0.503269111790362	0.368377496196363	0.460859365314177	0.54937132406793	0.460859365314177	0.460859365314177	0.460859365314177	0.54937132406793	0.368377496196363	0.503269111790363	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790363	0.54937132406793	0.316097902302877	0.54937132406793	0.503269111790363	0.503269111790362	0.460859365314177	0.503269111790362	0.316097902302877	0.503269111790363	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.503269111790362	0.232422589498038	0.410514532095831	0.410514532095831	0.54937132406793	0.503269111790362	0.41051453209583	0.503269111790362	0.460859365314177	0.503269111790362	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790362	0.54937132406793	0.460859365314177	0.503269111790362	0.503269111790362	0.503269111790362	0.368377496196363	0.460859365314177	0.503269111790362	0.54937132406793	0.460859365314177	0.503269111790362	0.54937132406793	0.410514532095831	0.460859365314177	0.503269111790362	0.503269111790363	0.503269111790363	0.503269111790363	0.503269111790362
Cell103	0.54937132406793	0.54937132406793	0.460859365314177	0.460859365314177	0.316097902302877	0	0.503269111790362	0.503269111790362	0.410514532095831	0.503269111790362	0.368377496196363	0.460859365314177	0.54937132406793	0.460859365314177	0.460859365314177	0.460859365314177	0.54937132406793	0.368377496196363	0.503269111790363	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790363	0.54937132406793	0.210008630824309	0.54937132406793	0.503269111790363	0.503269111790362	0.460859365314177	0.503269111790362	0.268251568724413	0.503269111790363	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.503269111790362	0.316097902302877	0.410514532095831	0.410514532095831	0.54937132406793	0.503269111790362	0.41051453209583	0.503269111790362	0.460859365314177	0.503269111790362	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790362	0.54937132406793	0.460859365314177	0.503269111790362	0.503269111790362	0.503269111790362	0.368377496196363	0.460859365314177	0.503269111790362	0.54937132406793	0.460859365314177	0.503269111790362	0.54937132406793	0.410514532095831	0.460859365314177	0.503269111790362	0.503269111790363	0.503269111790363	0.503269111790363	0.503269111790362
Cell104	0.54937132406793	0.54937132406793	0.503269111790362	0.503269111790362	0.503269111790362	0.503269111790362	0	0.376910227778097	0.503269111790362	0.376910227778097	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.465135220828242	0.376910227778097	0.54937132406793	0.376910227778097	0.465135220828242	0.54937132406793	0.503269111790362	0.54937132406793	0.376910227778097	0.465135220828242	0.503269111790362	0.465135220828242	0.503269111790362	0.465135220828242	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.465135220828242	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.309452319230723	0.503269111790362	0.465135220828242	0.503269111790362	0.429645766004516	0.376910227778097	0.267778015138802	0.465135220828242	0.54937132406793	0.309452319230723	0.54937132406793	0.465135220828242	0.465135220828242	0.54937132406793	0.503269111790362	0.465135220828242	0.376910227778097	0.465135220828242	0.503269111790362	0.503269111790362	0.465135220828242	0.54937132406793	0.503269111790362	0.465135220828242	0.54937132406793	0.503269111790362	0.503269111790362	0.465135220828242	0.376910227778097	0.465135220828242	0.465135220828242	0.267778015138802
Cell105	0.54937132406793	0.54937132406793	0.503269111790362	0.503269111790362	0.503269111790362	0.503269111790362	0.376910227778097	0	0.503269111790362	0.300739162152051	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.465135220828242	0.300739162152051	0.54937132406793	0.300739162152051	0.465135220828242	0.54937132406793	0.503269111790362	0.54937132406793	0.338339027657701	0.465135220828242	0.503269111790362	0.465135220828242	0.503269111790362	0.465135220828242	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.465135220828242	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.376910227778097	0.503269111790362	0.465135220828242	0.503269111790362	0.429645766004516	0.213583393652893	0.376910227778097	0.465135220828242	0.54937132406793	0.376910227778097	0.54937132406793	0.465135220828242	0.465135220828242	0.54937132406793	0.503269111790362	0.465135220828242	0.300739162152051	0.465135220828242	0.503269111790362	0.503269111790362	0.465135220828242	0.54937132406793	0.503269111790362	0.465135220828242	0.54937132406793	0.503269111790362	0.503269111790362	0.465135220828242	0.338339027657701	0.465135220828242	0.465135220828242	0.376910227778097
Cell106	0.54937132406793	0.54937132406793	0.460859365314177	0.460859365314177	0.410514532095831	0.410514532095831	0.503269111790362	0.503269111790362	0	0.503269111790362	0.410514532095831	0.460859365314177	0.54937132406793	0.460859365314177	0.460859365314177	0.460859365314177	0.54937132406793	0.410514532095831	0.503269111790363	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790363	0.54937132406793	0.410514532095831	0.54937132406793	0.503269111790363	0.503269111790362	0.460859365314177	0.503269111790362	0.410514532095831	0.503269111790363	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.503269111790362	0.410514532095831	0.300101630214918	0.202405063327472	0.54937132406793	0.503269111790362	0.341200265074754	0.503269111790362	0.460859365314177	0.503269111790362	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790362	0.54937132406793	0.460859365314177	0.503269111790362	0.503269111790362	0.503269111790362	0.410514532095831	0.460859365314177	0.503269111790362	0.54937132406793	0.460859365314177	0.503269111790362	0.54937132406793	0.300101630214918	0.460859365314177	0.503269111790362	0.503269111790363	0.503269111790363	0.503269111790363	0.503269111790362
Cell107	0.54937132406793	0.54937132406793	0.503269111790362	0.503269111790362	0.503269111790362	0.503269111790362	0.376910227778097	0.300739162152051	0.503269111790362	0	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.503269111790362	0.465135220828242	0.19425606650024	0.54937132406793	0.258891334277032	0.465135220828242	0.54937132406793	0.503269111790362	0.54937132406793	0.338339027657701	0.465135220828242	0.503269111790362	0.465135220828242	0.503269111790362	0.465135220828242	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.54937132406793	0.465135220828242	0.503269111790362	0.503269111790362	0.503269111790362	0.54937132406793	0.376910227778097	0.503269111790362	0.465135220828242	0.503269111790362	0.429645766004516	0.300739162152051	0.376910227778097	0.465135220828242	0.54937132406793	0.376910227778097	0.54937132406793	0.465135220828242	0.465135220828242	0.54937132406793	0.503269111790362	0.465135220828242	0.258891334277032	0.465135220828242	0.503269111790362	0.503269111790362	0.465135220828242	0.54937132406793	0.503269111790362	0.465135220828242	0.54937132406793	0.503269111790362	0.503269111790362	0.465135220828242	0.338339027657701	0.465135220828242	0.465135220828242	0.376910227778097
