Index	Cell	Lineage	Branch Length	Height	Height 0.95 HPD Lo	Height 0.95 HPD Hi	Height Median	Height Range Lo	Height Range Hi	Length	Length 0.95 HPD Lo	Length 0.95 HPD Hi	Length Median	Length Range Lo	Length Range Hi	Posterior	Rate	Rate 0.95 HPD Lo	Rate 0.95 HPD Hi	Rate Median	Rate Range Lo	Rate Range Hi
1	Cell1	X.1.1.1.1.1.1.1.1.1.1	0.0905888576379509	2.47332402089321e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0905888576379509	0.0714198078197673	0.110679629071984	0.0907060628914745	0.059236164065076	0.123769707428664		0.928827517663853	0.692932902416101	1.15547568218389	0.925318664397685	0.60573201355831	1.47021394131766
2	Cell10	X.1.1.1.1.2.1.1.2.1	0.10860085652307	2.50105186866107e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.118269593693642	0.0851051449133169	0.159749338350454	0.114688679710525	0.0731246014607561	0.17320470874635		0.921807173390092	0.685686941362627	1.16277028628831	0.906661668766799	0.587764206608918	1.4358852362499
3	Cell100	X.2.1.1.1.1.1	0.122018567135693	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.122018567135693	0.0985544285577739	0.149318528790081	0.121206510537416	0.0811530165509374	0.167462486317135		0.941057072224493	0.734066092206628	1.14313230816656	0.933942564025064	0.620095149432176	1.4434357439451
4	Cell101	X.2.1.1.1.2.2.1	0.106184717543352	2.45114174267892e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.106218647888384	0.0868298397413935	0.126853120499899	0.105915572354835	0.0719223756497089	0.141315150773927		1.0337443995848	0.821142362750616	1.28726779319183	1.0293722957256	0.683468202968876	1.41591679419255
5	Cell102	X.2.1.2.1.1.1.1	0.116211294749019	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.116211294749019	0.0931392848532525	0.137884010835455	0.115822808104362	0.0717839872109062	0.149186535823653		0.993227069236432	0.789587006876827	1.19838495466417	0.983880994716495	0.698439877758214	1.47811452560237
6	Cell103	X.2.1.2.1.1.2.2.1	0.105004315412155	2.44005060357177e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.10703910189999	0.081310248321609	0.130699176455728	0.106988057970948	0.0705361487228254	0.145841741855576		1.18088039981622	0.881289542510333	1.49854098254477	1.1639528869408	0.786951728844194	1.83401704137881
7	Cell104	X.2.2.1.2.1.1.1	0.133889007569401	2.47332402089321e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.132363199902299	0.110955034106954	0.157292078368123	0.132410027955633	0.0892890156514641	0.169458109709206		0.858338544271477	0.681872695386928	1.03650124997661	0.85178027364943	0.582955150221837	1.22794102860221
8	Cell105	X.2.2.1.2.2.1.1.1	0.106791696826446	2.47332402089321e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.106791696826446	0.0803441786319123	0.129003200711678	0.108102820996318	0.0712679061539047	0.138061611525855		1.14054715045264	0.908119587860485	1.49771083459799	1.12305965925601	0.786405609458167	1.69588721683456
9	Cell106	X.2.1.2.2.2.1.1	0.101202531663736	2.46777845133963e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.101202531663736	0.0795351720984645	0.120652125534425	0.101971766488148	0.071264746283171	0.130263451304356		1.0626736831312	0.804690519946674	1.31577285384254	1.0541097423603	0.678790547939073	1.53994841937786
10	Cell107	X.2.2.1.2.2.1.2.1.1	0.0971280332501199	2.47886959044678e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0971280332501199	0.0780315926123908	0.112866733384896	0.0971978126008123	0.0690505314607517	0.12150428974459		1.15462159072542	0.909693093153005	1.40368131615336	1.14478199288505	0.842990374066314	1.5570788661381
11	Cell108	X.2.1.2.1.2.2.1	0.11651057941161	2.46777845133963e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.116538669726229	0.0951132796115565	0.142839553891562	0.116562790929608	0.0851914533171242	0.153236475756602		1.02718337511375	0.798472328157564	1.27031055937051	1.01720888482823	0.697099472454577	1.69567523977478
12	Cell109	X.2.1.1.1.1.2	0.122018567135693	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.122018567135693	0.0985544285577739	0.149318528790081	0.121206510537416	0.0811530165509374	0.167462486317135		0.913914850625932	0.710581235367109	1.13214640137334	0.911374395564606	0.604671080506792	1.47725166291144
13	Cell11	X.1.1.2.1.1.1	0.100861768488457	2.47332402089321e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0972504790363186	0.0608703900870055	0.132643326807912	0.0977830810215244	0.0375090823519783	0.14551342050237		0.995433587808528	0.741725759917017	1.29555863440429	0.973347388526325	0.618990349123934	1.55535381370904
14	Cell110	X.2.1.1.2.1.2.1	0.113897933559904	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.113897933559904	0.0876561374638853	0.141619914889706	0.113006269347584	0.0765398571615845	0.164074371837287		1.16284911509189	0.822650916700285	1.43738289666999	1.15785962550701	0.765141484096611	1.74432902092068
15	Cell111	X.2.1.1.2.2.1.1	0.106481837178842	2.50105186866107e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.106481837178842	0.0851726182440229	0.131224358717347	0.106025720188486	0.0760962384697397	0.142143879290857		1.21932727371596	0.928481617052872	1.49511871177991	1.20765126778403	0.841667012978118	1.90409403235494
16	Cell112	X.2.1.1.2.1.2.2	0.113897933559904	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.113897933559904	0.0876561374638853	0.141619914889706	0.113006269347584	0.0765398571615845	0.164074371837287		1.09557962992848	0.848085930292874	1.3683335164645	1.08943577677606	0.715895749648898	1.56213574494038
17	Cell113	X.1.1.2.2.2.2.1	0.118915831715681	2.3346847820539e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0889123375394259	0.0445538440934724	0.141394594172004	0.0849040269462073	0.0283911767930129	0.179884823663002		1.03075263426064	0.695869023893703	1.46503785353851	1.01455782330706	0.570285325429702	1.77703794967794
18	Cell114	X.2.1.2.1.2.1	0.151675127818295	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.151632179938218	0.130155675109686	0.173238049494049	0.152205544714872	0.10163815638819	0.183224661993808		0.880712724192892	0.719274744404616	1.067599750054	0.872293702616998	0.657003088966984	1.2342584861998
19	Cell115	X.2.2.2.1.1.1.1	0.11752040864504	2.47332402089321e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.118880901147781	0.0972375821749076	0.142210849043799	0.117801311294982	0.0910431027157927	0.169487645401937		0.978546039074445	0.777799422254265	1.19307773740141	0.971916127164537	0.657367783600219	1.32477938053911
20	Cell116	X.2.2.1.2.2.1.2.1.2	0.0971280332501199	2.47886959044678e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0971280332501199	0.0780315926123908	0.112866733384896	0.0971978126008123	0.0690505314607517	0.12150428974459		1.2171855406447	0.97168599318682	1.47222168971592	1.21093419672111	0.814910596037434	1.82416723750825
21	Cell117	X.1.2.1.1	0.125528113586137	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.125528113586137	0.0810555747660751	0.166130279927054	0.123459515540827	0.0649993352530424	0.189265662876086		0.785782627705309	0.519757914783966	1.0287762505818	0.775428587610691	0.499510866285509	1.34656187604194
22	Cell118	X.2.2.1.2.2.1.2.2.1	0.10678146629785	2.48441516000035e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.110686653672266	0.0896735229782173	0.133998028075124	0.109591383138493	0.0779346078388268	0.144054041223612		1.16599416510096	0.9249386533278	1.43654598062494	1.15299159014548	0.807856296663224	1.60047683200122
